129,355,129,537,325,537,325,355
648,393,648,499,763,499,763,393
1168,315,1168,512,1377,512,1377,315
1804,420,1804,473,1861,473,1861,420
2293,374,2293,552,2475,552,2475,374
2822,462,2822,552,2962,552,2962,462
147,963,147,1091,316,1091,316,963
636,898,636,1100,841,1100,841,898
1280,962,1280,1007,1331,1007,1331,962
1740,981,1740,1079,1882,1079,1882,981
2248,908,2248,1115,2427,1115,2427,908
2814,1026,2814,1069,2870,1069,2870,1026
196,1416,196,1571,296,1571,296,1416
665,1463,665,1597,753,1597,753,1463
1164,1467,1164,1653,1273,1653,1273,1467
1751,1488,1751,1531,1800,1531,1800,1488
2288,1524,2288,1612,2427,1612,2427,1524
2767,1421,2767,1596,2921,1596,2921,1421
232,2010,232,2058,290,2058,290,2010
652,1918,652,2093,825,2093,825,1918
1168,1999,1168,2107,1319,2107,1319,1999
1709,1996,1709,2115,1843,2115,1843,1996
2206,1960,2206,2103,2392,2103,2392,1960
2755,2006,2755,2121,2885,2121,2885,2006
